IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.234.148,443,443,true,FRA,Europe,Frankfurt,179,7.34
130.162.232.181,443,443,true,FRA,Europe,Frankfurt,170,7.34
141.147.72.142,443,443,true,FRA,Europe,Frankfurt,177,7.33
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,180,7.33
152.70.56.126,443,443,true,FRA,Europe,Frankfurt,195,7.28
141.145.205.115,8443,8443,true,CDG,Europe,Paris,153,7.27
158.101.192.254,443,443,true,FRA,Europe,Frankfurt,170,7.27
141.144.203.150,443,443,true,FRA,Europe,Frankfurt,157,7.26
132.145.54.84,8443,443,true,LHR,Europe,London,158,7.22
141.144.205.190,443,443,true,FRA,Europe,Frankfurt,166,7.20
193.123.33.235,443,443,true,FRA,Europe,Frankfurt,207,7.17
158.180.48.95,443,443,true,FRA,Europe,Frankfurt,177,7.15
84.235.170.10,443,443,true,FRA,Europe,Frankfurt,180,7.13
129.159.247.179,443,443,true,FRA,Europe,Frankfurt,177,7.12
129.159.250.16,443,443,true,FRA,Europe,Frankfurt,174,7.11
129.146.133.33,443,443,true,LAX,North America,Los Angeles,210,7.10
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,192,7.09
129.146.248.140,443,443,true,LAX,North America,Los Angeles,211,7.08
158.178.145.244,443,443,true,FRA,Europe,Frankfurt,171,7.05
130.162.177.85,443,443,true,FRA,Europe,Frankfurt,179,7.03
193.122.197.111,443,443,true,IAD,North America,Ashburn,290,6.97
141.144.197.21,443,443,true,FRA,Europe,Frankfurt,186,6.95
130.162.162.92,443,443,true,FRA,Europe,Frankfurt,170,6.94
164.152.26.70,2086,443,true,ORD,North America,Chicago,237,6.90
40.233.70.7,8443,443,true,YYZ,North America,Toronto,247,6.82
84.235.174.127,443,443,true,FRA,Europe,Frankfurt,187,6.81
143.47.230.21,443,443,true,FRA,Europe,Frankfurt,160,6.75
130.61.14.198,443,443,true,FRA,Europe,Frankfurt,178,6.73
141.148.225.237,443,443,true,FRA,Europe,Frankfurt,189,6.72
132.226.128.124,443,443,true,FRA,Europe,Frankfurt,182,6.72
193.123.63.69,443,443,true,FRA,Europe,Frankfurt,174,6.70
130.162.242.72,443,443,true,FRA,Europe,Frankfurt,159,6.68
141.148.230.23,443,443,true,FRA,Europe,Frankfurt,184,6.63
141.147.75.108,443,443,true,FRA,Europe,Frankfurt,168,6.63
150.136.241.40,443,443,true,IAD,North America,Ashburn,248,6.60
132.145.54.84,2053,443,true,LHR,Europe,London,153,6.59
79.72.72.10,443,443,true,FRA,Europe,Frankfurt,203,6.55
158.101.215.145,443,443,true,FRA,Europe,Frankfurt,176,6.52
130.162.213.94,443,443,true,FRA,Europe,Frankfurt,170,6.51
158.101.217.25,443,443,true,FRA,Europe,Frankfurt,205,6.50
130.61.67.7,443,443,true,FRA,Europe,Frankfurt,181,6.50
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,276,6.49
138.2.132.36,443,443,true,FRA,Europe,Frankfurt,170,6.46
140.238.28.86,443,443,true,HKG,Asia Pacific,Hong Kong,128,6.41
68.233.127.163,8443,443,true,YYZ,North America,Toronto,246,6.38
138.2.161.225,443,443,true,FRA,Europe,Frankfurt,183,6.36
152.70.50.14,443,443,true,FRA,Europe,Frankfurt,180,6.32
132.145.233.236,443,443,true,FRA,Europe,Frankfurt,183,6.29
193.123.58.39,443,443,true,FRA,Europe,Frankfurt,195,6.23
168.138.162.187,443,443,true,SIN,Asia Pacific,Singapore,1,6.17
158.178.151.20,443,443,true,FRA,Europe,Frankfurt,183,6.15
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,184,6.13
144.21.36.246,443,443,true,FRA,Europe,Frankfurt,169,6.10
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,187,5.97
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,222,5.91
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,183,5.86
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,90,5.84
152.70.155.147,443,443,true,LAX,North America,Los Angeles,195,5.81
168.138.201.0,443,443,true,NRT,Asia Pacific,Tokyo,68,5.77
168.138.212.196,2096,2096,true,HKG,Asia Pacific,Hong Kong,68,5.73
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,67,5.71
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,85,5.69
150.230.63.93,443,443,true,KIX,Asia Pacific,Osaka,72,5.67
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,192,5.67
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,186,5.67
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,67,5.66
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,176,5.66
143.47.243.144,2053,443,true,LHR,Europe,London,152,5.62
146.56.44.85,443,443,true,ICN,Asia Pacific,Seoul,127,5.61
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,242,5.56
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,130,5.55
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,206,5.52
140.238.37.208,443,443,true,NRT,Asia Pacific,Tokyo,70,5.51
143.47.243.144,8443,443,true,LHR,Europe,London,171,5.49
140.238.195.98,443,443,true,SYD,Oceania,Sydney,93,5.49
213.35.119.73,443,443,true,SIN,Asia Pacific,Singapore,1,5.44
144.24.243.207,443,443,true,MXP,Europe,Milan,195,5.42
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,70,5.39
192.9.180.162,443,443,true,SYD,Oceania,Sydney,93,5.38
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,74,5.28
159.13.46.42,443,443,true,SYD,Oceania,Sydney,93,5.27
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,121,5.26
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,214,4.99
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,205,4.99
152.67.78.184,443,443,true,MXP,Europe,Milan,161,4.98
130.162.184.173,443,443,true,LHR,Europe,London,158,4.97
140.83.86.166,443,443,true,KIX,Asia Pacific,Osaka,93,4.97
138.2.159.85,443,443,true,FRA,Europe,Frankfurt,160,4.84
152.67.65.201,443,443,true,MXP,Europe,Milan,161,4.81
144.24.200.164,443,443,true,MRS,Europe,Marseille,170,4.81
132.145.134.230,443,443,true,IAD,North America,Ashburn,232,4.80
152.67.78.184,443,443,true,MXP,Europe,Milan,171,4.76
144.24.189.21,443,443,true,FRA,Europe,Frankfurt,173,4.76
143.47.242.195,443,443,true,LHR,Europe,London,165,4.75
158.179.203.23,443,443,true,OSL,Europe,Oslo,173,4.65
193.123.61.142,2053,443,true,AMS,Europe,Amsterdam,211,4.64
192.9.159.65,443,443,true,SJC,North America,San Jose,177,4.62
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,174,4.59
192.9.224.194,443,443,true,SJC,North America,San Jose,181,4.59
146.235.219.98,443,443,true,SJC,North America,San Jose,191,4.59
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,178,4.57
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,248,4.57
141.144.253.109,443,443,true,FRA,Europe,Frankfurt,178,4.55
155.248.196.123,443,443,true,YVR,North America,Vancouver,180,4.54
152.67.231.219,443,443,true,SJC,North America,San Jose,180,4.47
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,69,4.42
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,183,4.40
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,175,4.39
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,185,4.36
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,224,4.28
204.216.218.114,443,443,true,MRS,Europe,Marseille,238,4.11
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,200,4.08
132.145.82.137,443,443,true,ICN,Asia Pacific,Seoul,98,3.95
129.159.83.88,8443,443,true,IAD,North America,Ashburn,306,3.95
129.80.116.250,443,443,true,IAD,North America,Ashburn,247,3.91
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,176,3.91
129.146.254.39,443,443,true,LAX,North America,Los Angeles,210,3.89
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,156,3.89
152.70.234.188,443,443,true,ICN,Asia Pacific,Seoul,85,3.78
168.138.66.11,443,443,true,YYZ,North America,Toronto,253,3.71
158.180.231.216,443,443,true,MRS,Europe,Marseille,248,3.69
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,5,3.67
193.122.125.174,2053,443,true,ICN,Asia Pacific,Seoul,126,3.56
168.138.71.220,443,443,true,YYZ,North America,Toronto,252,3.51
64.110.86.92,2053,443,true,ICN,Asia Pacific,Seoul,113,3.39
158.180.49.11,2053,443,true,FRA,Europe,Frankfurt,176,3.33
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,183,3.26
89.168.43.31,8443,443,true,CDG,Europe,Paris,154,3.10
158.178.206.197,8443,443,true,CDG,Europe,Paris,152,2.95
158.178.129.114,8443,443,true,TLV,Middle East,Tel Aviv,194,2.87
89.168.68.57,2053,443,true,FRA,Europe,Frankfurt,193,2.82
140.238.158.238,8080,443,true,YYZ,North America,Toronto,229,2.80
150.230.20.156,8443,443,true,AMS,Europe,Amsterdam,173,2.66
158.178.206.197,2053,443,true,CDG,Europe,Paris,153,2.62
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,172,2.61
144.22.252.124,443,443,true,GRU,South America,São Paulo,431,2.61
152.67.44.30,443,443,true,GIG,South America,Rio de Janeiro,356,2.55
152.67.44.30,443,443,true,GIG,South America,Rio de Janeiro,358,2.49
150.230.20.156,2053,443,true,AMS,Europe,Amsterdam,163,2.44
146.235.59.153,8443,443,true,GRU,South America,São Paulo,362,2.40
158.101.15.48,443,443,true,LAX,North America,Los Angeles,217,2.37
89.168.43.31,2053,443,true,CDG,Europe,Paris,178,2.32
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,167,2.27
132.226.163.224,8443,443,true,GRU,South America,São Paulo,403,2.06
158.178.129.114,2053,443,true,TLV,Middle East,Tel Aviv,184,1.94
89.168.68.57,8443,443,true,FRA,Europe,Frankfurt,182,1.91
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,167,1.74
64.110.86.92,2083,443,true,ICN,Asia Pacific,Seoul,111,1.41
158.180.49.11,8443,443,true,FRA,Europe,Frankfurt,167,1.32
140.238.15.251,443,443,true,ICN,Asia Pacific,Seoul,90,1.30
140.238.158.238,443,443,true,YYZ,North America,Toronto,249,1.26
132.226.163.224,2053,443,true,GRU,South America,São Paulo,371,0.89
192.9.250.241,443,443,true,SJC,North America,San Jose,180,0.83
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,174,0.67
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,167,0.63
129.159.84.71,443,443,true,IAD,North America,Ashburn,231,0.62
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,172,0.40
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,69,0.36
129.213.165.166,443,443,true,IAD,North America,Ashburn,288,0.35
146.235.59.153,2053,443,true,GRU,South America,São Paulo,374,0.14
132.145.127.203,2053,443,true,NRT,Asia Pacific,Tokyo,67,0.04
132.145.127.203,8443,443,true,NRT,Asia Pacific,Tokyo,73,0.03
158.101.98.60,2095,443,true,IAD,North America,Ashburn,233,0.02
213.35.105.46,443,443,true,SIN,Asia Pacific,Singapore,1,0.00
168.138.163.239,2096,2096,true,SIN,Asia Pacific,Singapore,24,0.00
168.138.47.238,8443,80,false,KIX,Asia Pacific,Osaka,66,0.00
144.24.85.158,80,80,false,ICN,Asia Pacific,Seoul,66,0.00
129.154.60.48,443,443,true,ICN,Asia Pacific,Seoul,66,0.00
152.67.222.250,80,80,false,ICN,Asia Pacific,Seoul,68,0.00
144.24.83.39,443,443,true,ICN,Asia Pacific,Seoul,68,0.00
152.70.102.159,443,8080,false,NRT,Asia Pacific,Tokyo,69,0.00
138.2.18.184,80,80,false,NRT,Asia Pacific,Tokyo,70,0.00
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,70,0.00
140.83.37.223,443,443,true,NRT,Asia Pacific,Tokyo,72,0.00
168.138.215.251,443,443,true,NRT,Asia Pacific,Tokyo,72,0.00
158.179.191.151,443,443,true,NRT,Asia Pacific,Tokyo,72,0.00
150.230.221.148,443,443,true,NRT,Asia Pacific,Tokyo,77,0.00
150.230.62.27,443,80,false,KIX,Asia Pacific,Osaka,78,0.00
158.179.164.17,2052,2052,false,ICN,Asia Pacific,Seoul,79,0.00
64.110.86.92,8880,80,false,ICN,Asia Pacific,Seoul,85,0.00
146.56.133.140,2096,80,false,ICN,Asia Pacific,Seoul,89,0.00
140.83.57.116,8443,80,false,KIX,Asia Pacific,Osaka,90,0.00
152.70.235.207,443,443,true,ICN,Asia Pacific,Seoul,91,0.00
140.238.29.117,443,80,false,ICN,Asia Pacific,Seoul,96,0.00
132.226.231.242,2052,80,false,HKG,Asia Pacific,Hong Kong,97,0.00
217.142.136.132,80,80,false,ICN,Asia Pacific,Seoul,101,0.00
138.2.61.180,443,443,true,KIX,Asia Pacific,Osaka,103,0.00
146.56.146.67,443,443,true,ICN,Asia Pacific,Seoul,105,0.00
146.56.133.140,2083,80,false,ICN,Asia Pacific,Seoul,136,0.00
193.123.233.143,2083,80,false,ICN,Asia Pacific,Seoul,149,0.00
146.56.182.4,8880,8880,false,ICN,Asia Pacific,Seoul,150,0.00
193.123.233.143,2096,80,false,ICN,Asia Pacific,Seoul,154,0.00
144.24.200.164,80,80,false,MRS,Europe,Marseille,165,0.00
193.123.249.210,2052,2052,false,ICN,Asia Pacific,Seoul,168,0.00
193.123.235.59,443,443,true,ICN,Asia Pacific,Seoul,170,0.00
146.56.162.25,80,80,false,ICN,Asia Pacific,Seoul,173,0.00
165.1.76.23,80,80,false,SJC,North America,San Jose,180,0.00
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,181,0.00
152.70.155.147,2082,2082,false,LAX,North America,Los Angeles,181,0.00
150.230.44.13,443,443,true,SJC,North America,San Jose,181,0.00
152.70.155.147,2095,2095,false,LAX,North America,Los Angeles,193,0.00
152.70.155.147,8080,8080,false,LAX,North America,Los Angeles,193,0.00
152.70.155.147,2052,2052,false,LAX,North America,Los Angeles,194,0.00
152.70.155.147,8880,8880,false,LAX,North America,Los Angeles,202,0.00
152.70.155.147,2086,2086,false,LAX,North America,Los Angeles,221,0.00
152.70.155.147,80,80,false,LAX,North America,Los Angeles,225,0.00
204.216.214.115,2053,443,true,MRS,Europe,Marseille,225,0.00
150.136.61.148,443,443,true,IAD,North America,Ashburn,225,0.00
129.153.119.97,443,443,true,LAX,North America,Los Angeles,228,0.00
132.145.134.230,80,80,false,IAD,North America,Ashburn,229,0.00
192.18.159.129,443,443,true,YYZ,North America,Toronto,234,0.00
192.18.148.248,443,443,true,YYZ,North America,Toronto,234,0.00
150.136.121.64,80,443,true,IAD,North America,Ashburn,234,0.00
204.216.218.114,80,80,false,MRS,Europe,Marseille,236,0.00
129.213.165.166,80,80,false,IAD,North America,Ashburn,242,0.00
164.152.34.166,80,8080,false,GRU,South America,São Paulo,409,0.00
